sex,age,educ,income,religion,sg1,sg9,sc1,sc7b,pi1,pm3,vp1,vdn1b,pid1,med1
1,38.0,6,2,4,2,0,3,7,1,1,2,SVP,2,0
2,34.0,6,2,4,2,0,2,5,3,0,2,SP,2,0
2,48.0,6,2,4,2,0,2,5,2,2,2,SP,2,0
2,38.0,6,2,4,2,0,2,1,3,1,2,SP,2,0
2,29.0,6,2,4,2,0,2,1,3,0,2,SVP,2,0
2,61.0,6,2,4,2,0,2,2,1,1,2,SVP,1,0
1,23.0,2,2,4,2,0,4,4,3,1,2,SP,1,0
1,34.0,3,2,1,2,0,4,6,3,0,2,CVP,1,0
2,51.0,2,2,4,2,0,2,6,3,2,2,SP,2,0
2,52.0,2,2,4,2,0,2,6,3,3,2,EVP,2,0
2,60.0,2,2,4,2,0,2,2,2,2,2,SVP,2,0
1,34.0,3,2,1,2,0,4,6,3,2,2,CSP,2,0
1,26.0,3,2,4,2,0,4,6,2,2,2,CVP,1,0
1,28.0,3,2,4,2,0,2,3,2,2,2,CVP,2,0
1,59.0,2,2,1,2,0,4,3,2,3,2,CVP,2,0
2,49.0,7,2,4,2,0,2,6,4,2,2,FDP,2,0
2,45.0,7,2,4,2,0,2,6,2,4,2,FDP,2,0
2,51.0,2,2,4,2,0,2,6,1,2,2,SP,2,0
2,50.0,2,2,4,2,0,2,5,3,2,2,FDP,2,0
2,46.0,2,2,4,2,0,2,7,4,2,2,FDP,1,0
1,42.0,6,2,4,2,0,2,4,2,3,2,SP,2,0
2,39.0,6,2,1,2,0,2,7,3,2,2,SP,0,0
2,80.0,6,2,4,2,0,8,7,4,2,2,SP,0,0
1,57.0,2,2,1,2,0,4,7,1,1,2,CVP,2,0
2,48.0,6,2,4,2,0,2,5,3,1,2,SP,2,0
2,31.0,2,2,4,2,0,3,2,4,2,2,SVP,2,0
2,46.0,6,2,1,2,0,2,5,3,1,2,CSP,2,0
2,44.0,2,2,4,2,0,2,2,3,4,2,FDP,2,0
2,57.0,7,2,1,2,0,2,2,2,3,2,CVP,2,0
2,32.0,6,2,1,2,0,2,7,3,3,2,CSP,1,0
1,41.0,6,2,4,2,0,4,7,3,3,2,FDP,1,0
1,48.0,6,2,1,2,0,2,5,3,2,2,CVP,1,0
2,49.0,6,2,4,2,0,2,5,2,4,2,FDP,0,0
2,36.0,7,2,1,2,0,3,2,2,3,2,CVP,2,0
2,57.0,2,2,1,2,0,2,7,4,3,2,SP,2,0
2,41.0,6,2,4,2,0,2,7,3,1,2,SP,2,0
1,28.0,3,2,4,2,0,4,4,2,4,2,SVP,1,0
1,39.0,6,2,1,2,0,4,4,3,3,2,CSP,2,0
1,29.0,3,2,4,2,0,3,6,3,1,2,FDP,2,0
1,60.0,2,2,4,3,0,2,6,2,3,2,CSP,1,0
2,55.0,6,2,1,2,0,2,7,3,0,2,CVP,2,0
2,27.0,7,2,4,2,0,2,4,4,2,2,FDP,2,0
2,53.0,2,2,1,2,0,2,5,1,1,2,FDP,1,0
2,48.0,3,2,1,2,0,2,6,2,2,2,FDP,2,0
1,30.0,2,2,1,2,0,2,5,2,1,2,CSP,2,0
1,49.0,6,2,1,2,0,4,7,2,1,2,CVP,2,0
1,28.0,6,2,1,2,0,2,5,3,2,2,CSP,2,0
2,63.0,2,2,4,2,0,2,4,3,0,2,SP,2,0
2,24.0,2,2,4,2,0,2,6,3,3,2,FDP,2,0
2,65.0,2,2,4,2,0,2,4,4,0,2,SVP,2,0
1,62.0,2,2,4,2,0,8,6,1,1,2,SVP,2,0
2,75.0,2,2,4,2,0,8,6,3,3,2,FDP,2,0
2,50.0,7,2,4,2,0,2,6,2,4,2,FDP,0,0
2,46.0,2,2,1,2,0,2,6,3,3,2,FDP,2,0
1,62.0,2,2,4,2,0,4,7,3,1,2,CVP,1,0
2,24.0,7,2,1,2,0,5,0,3,0,2,CSP,1,0
2,68.0,2,2,4,2,0,3,2,2,2,2,FDP,1,0
2,50.0,6,2,4,2,0,8,5,3,1,2,FDP,2,0
1,47.0,2,2,4,2,0,4,4,3,2,2,FDP,2,0
1,59.0,2,2,1,2,0,2,4,1,1,2,FDP,2,0
2,32.0,2,2,4,2,0,2,7,3,0,2,SVP,2,0
1,55.0,6,2,1,1,0,4,0,2,2,2,CVP,1,0
2,24.0,6,2,1,1,0,2,1,3,2,2,CVP,2,0
2,48.0,6,2,1,1,0,8,4,2,3,2,SP,1,0
2,51.0,6,2,1,1,0,2,1,1,2,2,CVP,2,0
2,59.0,4,2,1,1,0,2,6,4,1,2,CVP,2,0
2,47.0,6,2,1,1,0,2,5,2,2,2,CVP,2,0
2,65.0,6,2,1,1,0,8,7,4,1,2,CSP,2,0
2,30.0,6,2,1,1,0,2,5,2,3,2,CVP,2,0
2,25.0,6,2,1,1,0,2,5,2,3,2,CVP,2,0
2,62.0,6,2,1,1,0,2,5,3,1,2,CSP,2,0
2,22.0,6,2,1,1,0,2,5,3,4,2,CSP,2,0
1,31.0,6,2,1,1,0,4,0,1,0,2,CSP,2,0
2,48.0,6,2,1,1,0,2,7,4,4,2,SP,2,0
1,29.0,6,2,1,1,0,4,3,1,2,2,CVP,1,0
1,82.0,6,2,1,1,0,8,4,4,1,2,CSP,2,0
2,27.0,2,2,1,1,0,2,6,2,2,2,CVP,2,0
1,25.0,6,2,1,1,0,2,4,1,0,2,CVP,2,0
