sex,age,educ,income,religion,sg1,sg9,sc1,sc7b,pi1,pm3,vp1,vdn1b,pid1
1,23.0,4,2,4,2,0,5,5,2,4,1,SP,2
0,47.0,2,2,3,2,0,4,3,2,4,1,SP,2
0,64.0,2,2,1,2,0,4,4,3,2,1,FDP,1
0,24.0,2,2,1,2,0,4,4,4,4,1,SP,2
0,60.0,6,2,1,2,0,4,4,3,3,1,CVP,1
0,32.0,6,2,1,2,0,4,5,1,1,1,SP,1
0,43.0,2,2,4,2,0,2,6,2,4,1,SP,1
0,58.0,2,2,4,2,0,4,4,2,2,1,SP,2
0,27.0,2,2,4,2,0,4,7,3,1,1,CVP,1
0,48.0,6,2,4,2,0,4,5,3,1,1,SVP,1
0,35.0,2,2,4,2,0,2,4,2,3,1,SP,1
0,27.0,2,2,4,2,0,2,2,2,3,1,FDP,1
0,47.0,2,2,1,2,0,2,5,2,3,1,SP,2
0,42.0,2,2,4,2,0,4,6,4,4,1,SP,2
0,43.0,3,2,4,2,0,4,6,3,1,1,FDP,1
0,51.0,2,2,4,2,0,4,6,2,3,1,FDP,1
0,26.0,2,2,4,2,0,2,4,3,2,1,SVP,2
0,66.0,2,2,4,2,0,4,4,2,1,1,FDP,2
1,58.0,2,2,1,2,0,2,6,4,1,1,FDP,2
1,35.0,2,2,1,2,0,2,7,3,4,1,SP,2
1,66.0,6,2,2,2,0,2,7,3,2,1,SP,2
1,50.0,4,2,4,2,0,2,2,4,4,1,FDP,2
0,76.0,2,2,4,2,0,8,6,4,2,1,FDP,2
1,21.0,2,2,4,2,0,2,7,3,2,1,FDP,2
1,49.0,4,2,2,2,0,2,2,4,2,1,SP,2
1,37.0,3,2,4,2,0,2,6,4,2,1,SP,2
1,69.0,7,2,4,2,0,2,6,4,4,1,SP,2
1,57.0,2,2,3,2,0,2,2,3,1,1,SP,2
1,22.0,7,2,2,2,0,5,0,2,4,1,SVP,1
1,50.0,2,2,4,2,0,2,6,2,3,1,FDP,2
